source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
COHR_12.02_200call2026-09-18.txt,2025-12-02,22:52:16,COHR,ASK,200,call,2026-09-18,290d,$169.54,$33.40 - $33.50,$33.50,240,$804K,262,17,15.41,100%,"12,718",73.03,0.5299,-0.0761,0.0036,0.6012,0.4477,33.50,Technology,Scientific & Technical Instruments,64,Repeated Hits,200 call 2026-09-18
COHR_12.02_200call2026-09-18.txt,2025-12-02,22:47:42,COHR,ASK,200,call,2026-07-17,227d,$168.66,$25.40 - $29.00,$27.57,35,$96K,38,2,19.00,92%,"1,735",72.29,0.4957,-0.0849,0.0041,0.5306,0.3485,27.57,Technology,Scientific & Technical Instruments,64,,200 call 2026-07-17
COHR_12.02_200call2026-09-18.txt,2025-12-02,22:32:47,COHR,ASK,185,call,2026-07-17,227d,$170.49,$30.80 - $33.80,$32.36,25,$81K,25,0,-,100%,"1,385",70.83,0.5542,-0.0834,0.0042,0.5314,0.3863,32.36,Technology,Scientific & Technical Instruments,64,,185 call 2026-07-17
COHR_12.02_200call2026-09-18.txt,2025-12-02,22:32:47,COHR,BID,220,call,2026-07-17,227d,$170.49,$19.90 - $23.40,$21.61,25,$54K,25,5,5.00,100%,"1,059",69.07,0.4237,-0.0805,0.0042,0.5265,0.3148,21.61,Technology,Scientific & Technical Instruments,64,,220 call 2026-07-17
COHR_12.02_200call2026-09-18.txt,2025-12-02,22:30:01,COHR,ASK,152.5,call,2026-01-02,31d,$167.50,$20.70 - $23.60,$23.33,28,$65K,28,2,14.00,100%,"1,960",78.74,0.70,-0.2161,0.009,0.1697,0.0798,23.33,Technology,Scientific & Technical Instruments,64,,152.5 call 2026-01-02
COHR_12.02_200call2026-09-18.txt,2025-12-02,02:54:57,COHR,BID,150,put,2028-01-21,780d,$165.22,$44.00 - $47.50,$45.00,120,$540K,120,7,17.14,100%,"-3,486",59.28,-0.2905,-0.0307,0.0024,0.8279,-1.9899,45.00,Technology,Scientific & Technical Instruments,64,,150 put 2028-01-21
COHR_12.02_200call2026-09-18.txt,2025-12-02,01:25:03,COHR,ASK,125,put,2027-01-15,409d,$162.88,$20.70 - $24.50,$22.67,14,$32K,24,2,12.00,58%,-325,65.59,-0.2318,-0.0416,0.0027,0.5265,-0.6788,22.67,Technology,Scientific & Technical Instruments,64,,125 put 2027-01-15
COHR_12.02_200call2026-09-18.txt,2025-12-02,01:25:03,COHR,BID,240,call,2027-01-15,409d,$162.88,$25.20 - $28.50,$26.79,14,$38K,24,2,12.00,58%,614,69.44,0.4386,-0.058,0.0033,0.6805,0.5015,26.79,Technology,Scientific & Technical Instruments,64,,240 call 2027-01-15
COHR_12.02_200call2026-09-18.txt,2025-12-02,00:38:59,COHR,BID,65,call,2026-06-18,198d,$161.54,$97.80 - $101.20,$99.45,6,$60K,6,4,1.50,100%,572,92.28,0.9534,-0.0274,0.0009,0.1162,0.2975,99.45,Technology,Scientific & Technical Instruments,64,,65 call 2026-06-18
COHR_12.02_200call2026-09-18.txt,2025-11-29,01:20:25,COHR,BID,157.5,call,2025-12-12,10d,$165.65,$14.10 - $15.40,$14.10,100,$141K,101,7,14.43,100%,"6,615",75.11,0.6615,-0.3186,0.015,0.1187,0.0366,14.10,Technology,Scientific & Technical Instruments,64,,157.5 call 2025-12-12
COHR_12.02_200call2026-09-18.txt,2025-11-29,00:12:29,COHR,ASK,165,call,2025-12-12,10d,$165.17,$8.70 - $10.20,$9.75,"1,090",$1.06M,"1,096",31,35.35,100%,"57,999",74.99,0.5321,-0.3448,0.0164,0.1286,0.03,9.75,Technology,Scientific & Technical Instruments,64,,165 call 2025-12-12
COHR_12.02_200call2026-09-18.txt,2025-11-29,00:12:29,COHR,BID,180,call,2025-12-19,17d,$165.17,$5.30 - $6.30,$5.50,"2,180",$1.2M,"2,190",332,6.60,100%,"72,367",69.23,0.332,-0.2372,0.0132,0.1438,0.0284,5.50,Technology,Scientific & Technical Instruments,64,,180 call 2025-12-19
COHR_12.02_200call2026-09-18.txt,2025-11-28,23:12:28,COHR,BID,157.5,put,2025-12-05,3d,$159.86,$4.40 - $6.70,$5.34,65,$35K,68,23,2.96,99%,"-2,742",73.64,-0.4219,-0.4554,0.024,0.0866,-0.014,5.34,Technology,Scientific & Technical Instruments,64,,157.5 put 2025-12-05
COHR_12.02_200call2026-09-18.txt,2025-11-28,22:58:08,COHR,BID,185,call,2026-03-20,108d,$159.50,$16.80 - $17.10,$16.80,131,$220K,131,50,2.62,100%,"5,715",73.32,0.4362,-0.1142,0.0061,0.348,0.1619,16.80,Technology,Scientific & Technical Instruments,64,,185 call 2026-03-20
COHR_12.02_200call2026-09-18.txt,2025-11-28,22:48:11,COHR,BID,140,put,2025-12-19,17d,$158.78,$2.70 - $5.00,$3.20,500,$160K,500,343,1.46,100%,"-10,010",69.29,-0.2002,-0.1759,0.0106,0.1067,-0.0201,3.20,Technology,Scientific & Technical Instruments,64,,140 put 2025-12-19
COHR_12.02_200call2026-09-18.txt,2025-11-28,22:48:11,COHR,BID,200,call,2026-03-20,108d,$158.78,$10.30 - $13.30,$11.10,500,$555K,500,418,1.20,100%,"16,873",68.28,0.3375,-0.0982,0.0061,0.3213,0.1304,11.10,Technology,Scientific & Technical Instruments,64,,200 call 2026-03-20
COHR_12.02_200call2026-09-18.txt,2025-11-28,22:48:11,COHR,ASK,160,call,2026-03-20,108d,$158.78,$23.40 - $25.80,$24.90,500,$1.25M,500,116,4.31,100%,"28,653",72.78,0.5731,-0.1125,0.0061,0.345,0.2028,24.90,Technology,Scientific & Technical Instruments,64,,160 call 2026-03-20
