source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:25:25,ORCL,BID,295,put,2025-12-12,0d,$199.59,$94.25 - $96.80,$94.25,250,$2.36M,420,25,16.80,60%,"-23,238",468.05,-0.9295,-3.2986,0.0028,0.0141,-0.0077,96.80,Technology,Software Infrastructure,87,,295 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:25:25,ORCL,ASK,300,put,2025-12-12,0d,$199.59,$99.25 - $100.60,$100.60,220,$2.21M,385,22,17.50,61%,"-21,655",346.99,-0.9843,-0.7114,0.0011,0.0041,-0.0081,100.60,Technology,Software Infrastructure,87,,300 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:25:25,ORCL,BID,277.5,put,2025-12-12,0d,$199.59,$76.75 - $78.35,$76.75,40,$307K,65,5,13.00,100%,"-3,862",330.25,-0.9656,-1.3125,0.0022,0.008,-0.0074,78.35,Technology,Software Infrastructure,87,,277.5 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:25:25,ORCL,BID,285,put,2025-12-12,0d,$199.59,$84.25 - $86.65,$84.25,60,$506K,63,10,6.30,95%,"-5,587",426.25,-0.9312,-2.9478,0.003,0.0138,-0.0075,86.65,Technology,Software Infrastructure,87,,285 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:19:50,ORCL,BID,275,put,2025-12-12,0d,$199.51,$74.25 - $75.85,$74.25,560,$4.16M,938,77,12.18,99%,"-54,297",313.30,-0.9696,-1.125,0.0021,0.0072,-0.0074,75.85,Technology,Software Infrastructure,87,,275 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:19:50,ORCL,BID,272.5,put,2025-12-12,0d,$199.51,$71.75 - $73.35,$71.75,"1,010",$7.25M,"1,830",116,15.78,55%,"-97,867",306.04,-0.969,-1.1168,0.0022,0.0073,-0.0073,73.35,Technology,Software Infrastructure,87,,272.5 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:19:50,ORCL,BID,260,put,2025-12-12,0d,$199.51,$59.25 - $61.80,$59.25,"1,100",$6.52M,"1,789",156,11.47,100%,"-100,631",346.10,-0.9148,-2.8156,0.0043,0.0163,-0.0067,61.80,Technology,Software Infrastructure,87,,260 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:19:50,ORCL,BID,270,put,2025-12-12,0d,$199.51,$69.25 - $71.80,$70.39,880,$6.19M,"1,565",103,15.19,100%,"-81,065",381.98,-0.9212,-2.9307,0.0037,0.0153,-0.007,71.80,Technology,Software Infrastructure,87,,270 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:19:50,ORCL,ASK,265,put,2025-12-12,0d,$199.51,$64.25 - $66.55,$66.55,800,$5.32M,"1,222",102,11.98,100%,"-74,326",347.64,-0.9291,-2.4612,0.0037,0.0142,-0.0069,66.55,Technology,Software Infrastructure,87,,265 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:19:50,ORCL,BID,225,put,2025-12-12,0d,$199.51,$25.30 - $25.90,$25.30,"5,050",$12.8M,"6,256","1,844",3.39,87%,"-472,732",147.09,-0.9361,-0.9603,0.0081,0.0131,-0.0058,25.90,Technology,Software Infrastructure,87,,225 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:19:50,ORCL,ASK,230,put,2025-12-12,0d,$199.51,$30.25 - $31.10,$31.10,"2,920",$9.08M,"3,279",716,4.58,95%,"-270,156",182.49,-0.9252,-1.3455,0.0074,0.0148,-0.0059,31.10,Technology,Software Infrastructure,87,,230 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:19:50,ORCL,BID,232.5,put,2025-12-12,0d,$199.51,$32.55 - $33.70,$32.55,220,$716K,252,62,4.06,94%,"-20,262",199.66,-0.921,-1.5345,0.0071,0.0154,-0.006,33.70,Technology,Software Infrastructure,87,,232.5 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,04:19:50,ORCL,BID,227.5,put,2025-12-12,0d,$199.51,$27.35 - $28.60,$27.35,210,$574K,235,49,4.80,94%,"-19,350",171.81,-0.9214,-1.3152,0.0082,0.0153,-0.0058,28.60,Technology,Software Infrastructure,87,,227.5 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,03:52:46,ORCL,ASK,305,put,2025-12-12,0d,$200.67,$102.80 - $104.35,$104.35,3,$31K,4,0,-,100%,-299,277.94,-0.9975,-0.113,0.0003,0.0008,-0.0083,104.35,Technology,Software Infrastructure,87,,305 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,03:39:49,ORCL,BID,250,put,2025-12-12,0d,$200.49,$48.95 - $50.65,$49.65,"1,700",$8.44M,"2,079",303,6.86,91%,"-166,746",198.53,-0.9809,-0.4851,0.0022,0.0049,-0.0067,49.65,Technology,Software Infrastructure,87,,250 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,03:39:49,ORCL,ASK,245,put,2025-12-12,0d,$200.49,$43.95 - $45.80,$45.10,"1,700",$7.67M,"1,749",299,5.85,99%,"-160,058",235.11,-0.9415,-1.4395,0.0047,0.0123,-0.0064,45.10,Technology,Software Infrastructure,87,,245 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,03:39:49,ORCL,BID,255,put,2025-12-12,0d,$200.49,$53.95 - $55.70,$54.65,"1,380",$7.54M,"1,418",248,5.72,99%,"-135,518",213.40,-0.982,-0.4945,0.002,0.0046,-0.0069,54.65,Technology,Software Infrastructure,87,,255 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-12,03:39:49,ORCL,ASK,272.5,put,2025-12-12,0d,$200.49,$71.15 - $73.80,$73.05,820,$5.99M,820,116,7.07,100%,"-76,557",366.60,-0.9336,-2.4783,0.0034,0.0135,-0.0071,73.05,Technology,Software Infrastructure,87,,272.5 put 2025-12-12
