source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
LEN_12.18_120call2026-01-16.txt,2025-12-18,22:54:45,LEN,ASK,120,call,2026-01-16,29d,$109.47,$0.70 - $1.20,$1.00,"1,700",$170K,"1,702","1,524",1.12,100%,"31,003",34.12,0.1824,-0.0481,0.0251,0.0816,0.0151,1.00,Consumer Cyclical,Residential Construction,91,Floor Trade Large Cap,120 call 2026-01-16
LEN_12.18_120call2026-01-16.txt,2025-12-18,02:08:42,LEN,ASK,195,put,2028-01-21,764d,$111.88,$81.50 - $85.50,$83.73,9,$75K,9,0,-,100%,-809,25.97,-0.8987,-0.0035,0.0042,0.287,-3.8621,83.73,Consumer Cyclical,Residential Construction,91,,195 put 2028-01-21
LEN_12.18_120call2026-01-16.txt,2025-12-18,02:08:42,LEN,ASK,180,put,2028-01-21,764d,$111.88,$68.00 - $72.00,$70.38,9,$63K,9,0,-,100%,-751,27.65,-0.8348,-0.006,0.0055,0.4023,-3.4326,70.38,Consumer Cyclical,Residential Construction,91,,180 put 2028-01-21
LEN_12.18_120call2026-01-16.txt,2025-12-17,03:43:15,LEN,BID,121,call,2025-12-19,1d,$116.97,$1.50 - $1.85,$1.62,268,$43K,317,111,2.86,87%,"8,639",75.41,0.3223,-0.4782,0.0449,0.038,0.003,1.62,Consumer Cyclical,Residential Construction,91,,121 call 2025-12-19
LEN_12.18_120call2026-01-16.txt,2025-12-17,01:45:19,LEN,BID,150,put,2026-12-18,365d,$117.78,$35.00 - $39.00,$36.52,25,$91K,25,0,-,100%,"-1,857",29.75,-0.7429,-0.0145,0.0092,0.3809,-1.2469,36.52,Consumer Cyclical,Residential Construction,91,,150 put 2026-12-18
LEN_12.18_120call2026-01-16.txt,2025-12-17,01:45:19,LEN,BID,140,put,2026-12-18,365d,$117.78,$27.50 - $32.00,$29.52,25,$74K,25,0,-,100%,"-1,611",31.94,-0.6446,-0.0183,0.0099,0.4399,-1.0601,29.52,Consumer Cyclical,Residential Construction,91,,140 put 2026-12-18
LEN_12.18_120call2026-01-16.txt,2025-12-16,00:18:13,LEN,ASK,145,put,2026-05-15,148d,$119.59,$26.60 - $28.70,$27.66,11,$30K,11,0,-,100%,-885,31.16,-0.8042,-0.0212,0.0115,0.2126,-0.5123,27.66,Consumer Cyclical,Residential Construction,91,,145 put 2026-05-15
LEN_12.18_120call2026-01-16.txt,2025-12-11,01:17:52,LEN,ASK,95,put,2027-01-15,393d,$118.38,$6.00 - $7.60,$7.50,149,$112K,150,51,2.94,100%,"-3,334",37.98,-0.2238,-0.0173,0.0063,0.371,-0.3734,7.50,Consumer Cyclical,Residential Construction,91,,95 put 2027-01-15
LEN_12.18_120call2026-01-16.txt,2025-12-10,23:16:07,LEN,BID,119,put,2025-12-19,1d,$118.90,$3.80 - $4.20,$3.99,250,$100K,253,7,36.14,99%,"-12,183",52.91,-0.4873,-0.2186,0.0404,0.0744,-0.0153,3.99,Consumer Cyclical,Residential Construction,91,,119 put 2025-12-19
LEN_12.18_120call2026-01-16.txt,2025-12-10,00:56:42,LEN,BID,90,call,2028-01-21,764d,$119.03,$41.90 - $43.90,$42.50,9,$38K,10,4,2.50,100%,702,42.22,0.7799,-0.0144,0.004,0.513,1.0659,42.50,Consumer Cyclical,Residential Construction,91,,90 call 2028-01-21
