source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
DDOG_01.07_135call2028-01-21.txt,2026-01-07,04:59:07,DDOG,BID,138,put,2026-01-16,9d,$137.16,$3.85 - $3.90,$3.85,140,$54K,142,44,3.23,100%,"-7,371",37.61,-0.5265,-0.1697,0.0466,0.0904,-0.0208,3.85,Technology,Software,36,Repeated Hits,138 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2026-01-07,04:59:07,DDOG,BID,139,put,2026-01-09,2d,$137.16,$3.15 - $3.20,$3.15,107,$34K,107,61,1.75,100%,"-6,731",42.14,-0.6291,-0.3297,0.0721,0.047,-0.0074,3.15,Technology,Software,36,Repeated Hits,139 put 2026-01-09
DDOG_01.07_135call2028-01-21.txt,2026-01-07,04:58:50,DDOG,ASK,130,call,2026-07-17,191d,$137.20,$21.40 - $23.05,$23.05,22,$51K,23,8,2.88,100%,"1,388",49.80,0.6308,-0.0492,0.0076,0.3755,0.334,23.05,Technology,Software,36,,130 call 2026-07-17
DDOG_01.07_135call2028-01-21.txt,2026-01-07,03:25:56,DDOG,BID,175,put,2026-01-16,9d,$135.38,$38.65 - $41.75,$40.15,200,$803K,200,52,3.85,100%,"-18,772",95.59,-0.9386,-0.1294,0.0057,0.0272,-0.0458,40.15,Technology,Software,36,,175 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2026-01-07,03:25:56,DDOG,BID,165,put,2026-01-16,9d,$135.38,$29.20 - $31.80,$30.30,100,$303K,113,28,4.04,88%,"-9,151",82.93,-0.9151,-0.144,0.0084,0.0349,-0.0422,30.30,Technology,Software,36,,165 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2026-01-07,02:25:28,DDOG,ASK,130,call,2028-01-21,744d,$133.97,$39.70 - $41.40,$41.14,20,$82K,20,15,1.33,100%,"1,329",52.88,0.6646,-0.0251,0.0036,0.6976,0.9777,41.14,Technology,Software,36,,130 call 2028-01-21
DDOG_01.07_135call2028-01-21.txt,2026-01-07,01:10:18,DDOG,ASK,135,call,2028-01-21,744d,$132.67,$36.50 - $39.00,$39.00,32,$125K,33,23,1.43,100%,"2,059",53.58,0.6433,-0.0258,0.0037,0.7068,0.946,39.00,Technology,Software,36,Repeated Hits,135 call 2028-01-21
DDOG_01.07_135call2028-01-21.txt,2026-01-07,00:00:56,DDOG,ASK,120,call,2026-01-09,2d,$132.57,$12.05 - $14.25,$13.22,30,$40K,30,3,10.00,100%,"2,658",94.49,0.886,-0.3655,0.017,0.0232,0.0086,13.22,Technology,Software,36,,120 call 2026-01-09
DDOG_01.07_135call2028-01-21.txt,2026-01-06,03:30:51,DDOG,BID,170,put,2026-01-16,9d,$133.39,$34.95 - $38.05,$36.45,700,$2.55M,700,139,5.04,100%,"-61,386",111.18,-0.8769,-0.2377,0.0079,0.0471,-0.0467,38.05,Technology,Software,36,,170 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2026-01-06,03:30:51,DDOG,ASK,165,put,2026-01-16,9d,$133.39,$30.05 - $33.15,$31.65,100,$317K,100,35,2.86,100%,"-9,887",52.66,-0.9887,-0.0159,0.0024,0.0069,-0.0493,31.65,Technology,Software,36,,165 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2026-01-03,03:35:56,DDOG,ASK,170,put,2026-01-16,9d,$133.89,$35.50 - $38.15,$36.85,700,$2.58M,700,139,5.04,100%,"-64,324",82.45,-0.9189,-0.1154,0.0069,0.0394,-0.0613,36.85,Technology,Software,36,,170 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2026-01-03,03:35:56,DDOG,BID,165,put,2026-01-16,9d,$133.89,$30.55 - $33.10,$31.65,50,$158K,50,36,1.39,100%,"-4,643",69.52,-0.9287,-0.0882,0.0075,0.0357,-0.0598,31.65,Technology,Software,36,,165 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2026-01-03,00:11:26,DDOG,BID,140,call,2026-02-20,44d,$132.88,$6.85 - $7.10,$6.95,"1,499",$1.04M,"1,607",262,6.13,98%,"63,864",50.73,0.426,-0.0991,0.0159,0.1909,0.0667,6.95,Technology,Software,36,,140 call 2026-02-20
DDOG_01.07_135call2028-01-21.txt,2026-01-01,04:01:08,DDOG,BID,165,put,2026-01-16,9d,$136.44,$26.70 - $29.55,$28.07,350,$982K,450,75,6.00,100%,"-31,138",69.92,-0.8896,-0.1171,0.0094,0.0538,-0.0662,29.55,Technology,Software,36,,165 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2026-01-01,03:44:45,DDOG,BID,175,put,2026-01-16,9d,$136.76,$36.45 - $39.60,$37.95,400,$1.52M,400,52,7.69,100%,"-35,357",91.25,-0.8839,-0.159,0.0075,0.056,-0.0703,39.60,Technology,Software,36,,175 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2026-01-01,03:44:45,DDOG,BID,165,put,2026-01-16,9d,$136.76,$26.70 - $29.55,$27.95,100,$280K,100,75,1.33,100%,"-8,688",74.75,-0.8688,-0.1419,0.0099,0.061,-0.065,29.55,Technology,Software,36,,165 put 2026-01-16
DDOG_01.07_135call2028-01-21.txt,2025-12-31,03:33:46,DDOG,ASK,165,put,2026-01-16,9d,$138.01,$25.35 - $27.90,$26.70,675,$1.8M,675,266,2.54,100%,"-60,273",63.15,-0.8929,-0.1015,0.0098,0.0549,-0.0704,27.90,Technology,Software,36,,165 put 2026-01-16
