source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
SATS_01.06_125call2026-01-16.txt,2026-01-07,04:44:04,SATS,ASK,80,call,2026-08-21,226d,$116.69,$43.80 - $44.30,$44.30,18,$80K,21,0,-,95%,"1,500",69.36,0.8332,-0.0356,0.0039,0.2301,0.3291,44.30,Technology,Communication Equipment,50,,80 call 2026-08-21
SATS_01.06_125call2026-01-16.txt,2026-01-07,04:41:48,SATS,ASK,75,call,2026-12-18,345d,$116.79,$49.20 - $51.50,$51.50,8,$41K,12,2,6.00,92%,672,69.95,0.8401,-0.0283,0.0031,0.2766,0.4419,51.50,Technology,Communication Equipment,50,,75 call 2026-12-18
SATS_01.06_125call2026-01-16.txt,2026-01-07,03:36:53,SATS,ASK,90,call,2026-12-18,345d,$115.47,$39.10 - $41.10,$41.10,8,$33K,8,2,4.00,100%,609,67.46,0.7617,-0.0343,0.0041,0.3481,0.4441,41.10,Technology,Communication Equipment,50,,90 call 2026-12-18
SATS_01.06_125call2026-01-16.txt,2026-01-07,03:32:24,SATS,ASK,150,put,2026-09-18,254d,$115.94,$44.50 - $45.30,$45.30,30,$136K,36,0,-,92%,"-1,853",56.94,-0.6176,-0.0404,0.0069,0.3697,-0.8167,45.30,Technology,Communication Equipment,50,,150 put 2026-09-18
SATS_01.06_125call2026-01-16.txt,2026-01-07,03:27:22,SATS,ASK,60,call,2026-12-18,345d,$115.74,$59.30 - $61.40,$61.40,5,$31K,5,2,2.50,100%,450,73.39,0.8998,-0.0213,0.0021,0.198,0.4052,61.40,Technology,Communication Equipment,50,,60 call 2026-12-18
SATS_01.06_125call2026-01-16.txt,2026-01-07,03:23:11,SATS,ASK,130,call,2026-07-17,191d,$116.32,$14.40 - $17.10,$16.10,100,$161K,100,16,6.25,100%,"4,952",62.94,0.4952,-0.0555,0.0075,0.3365,0.2183,16.10,Technology,Communication Equipment,50,Floor Trade Large Cap,130 call 2026-07-17
SATS_01.06_125call2026-01-16.txt,2026-01-07,03:20:01,SATS,ASK,75,call,2026-07-17,191d,$116.15,$45.35 - $46.25,$46.20,14,$65K,20,1,20.00,90%,"1,216",69.82,0.8686,-0.0331,0.0036,0.1795,0.2876,46.20,Technology,Communication Equipment,50,,75 call 2026-07-17
SATS_01.06_125call2026-01-16.txt,2026-01-07,01:52:26,SATS,ASK,160,call,2026-06-18,162d,$114.89,$7.50 - $7.80,$7.80,50,$39K,58,36,1.61,90%,"1,498",66.20,0.2997,-0.0543,0.0068,0.2668,0.1189,7.80,Technology,Communication Equipment,50,,160 call 2026-06-18
SATS_01.06_125call2026-01-16.txt,2026-01-07,01:37:52,SATS,BID,140,call,2026-08-21,226d,$114.66,$15.40 - $15.60,$15.40,36,$55K,59,0,-,90%,"1,628",66.03,0.4524,-0.0524,0.0066,0.3582,0.2268,15.40,Technology,Communication Equipment,50,Repeated Hits,140 call 2026-08-21
SATS_01.06_125call2026-01-16.txt,2026-01-07,00:55:24,SATS,ASK,115,put,2026-01-09,2d,$113.80,$2.25 - $3.10,$3.10,404,$125K,503,120,4.19,94%,"-22,895",59.32,-0.5667,-0.401,0.0643,0.0406,-0.0056,3.10,Technology,Communication Equipment,50,Repeated Hits,115 put 2026-01-09
