source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
IONQ_01.07_70call2026-03-20.txt,2026-01-07,23:01:01,IONQ,ASK,70,call,2026-03-20,71d,$50.69,$2.83 - $3.65,$3.65,500,$183K,536,88,6.09,100%,"15,536",101.06,0.3107,-0.0559,0.0155,0.0795,0.0239,3.65,Technology,Computer Hardware,48,Floor Trade Large Cap,70 call 2026-03-20
IONQ_01.07_70call2026-03-20.txt,2026-01-07,02:50:40,IONQ,BID,52,put,2026-02-13,36d,$48.09,$7.00 - $8.15,$7.57,49,$37K,49,13,3.77,100%,"-2,745",84.10,-0.5603,-0.0675,0.0302,0.0612,-0.0359,7.57,Technology,Computer Hardware,48,,52 put 2026-02-13
IONQ_01.07_70call2026-03-20.txt,2026-01-07,00:02:15,IONQ,ASK,50,put,2026-03-20,71d,$48.81,$8.20 - $8.25,$8.25,37,$31K,64,6,10.67,69%,"-1,652",87.37,-0.4464,-0.0515,0.0207,0.0863,-0.0601,8.25,Technology,Computer Hardware,48,,50 put 2026-03-20
IONQ_01.07_70call2026-03-20.txt,2026-01-06,23:12:49,IONQ,BID,49.5,call,2026-01-16,8d,$48.59,$2.46 - $2.67,$2.46,329,$81K,334,32,10.44,100%,"15,778",89.37,0.4796,-0.1432,0.0554,0.032,0.0057,2.46,Technology,Computer Hardware,48,Repeated Hits Ascending Fill,49.5 call 2026-01-16
IONQ_01.07_70call2026-03-20.txt,2026-01-06,23:04:15,IONQ,ASK,40,put,2026-03-20,71d,$48.56,$3.25 - $3.40,$3.40,119,$40K,122,86,1.42,99%,"-2,910",87.55,-0.2445,-0.0408,0.0165,0.0682,-0.0305,3.40,Technology,Computer Hardware,48,,40 put 2026-03-20
IONQ_01.07_70call2026-03-20.txt,2026-01-06,02:50:54,IONQ,ASK,56,call,2026-02-06,29d,$48.47,$2.05 - $2.25,$2.25,171,$38K,203,89,2.28,86%,"5,549",84.01,0.3245,-0.0678,0.0298,0.0516,0.0118,2.25,Technology,Computer Hardware,48,,56 call 2026-02-06
IONQ_01.07_70call2026-03-20.txt,2026-01-06,01:20:51,IONQ,BID,54,call,2026-01-30,22d,$49.44,$2.58 - $2.65,$2.58,288,$74K,295,72,4.10,98%,"11,067",83.47,0.3843,-0.0826,0.0354,0.0494,0.0112,2.58,Technology,Computer Hardware,48,,54 call 2026-01-30
IONQ_01.07_70call2026-03-20.txt,2026-01-05,22:55:48,IONQ,BID,45,put,2026-08-21,225d,$48.55,$10.25 - $11.25,$10.40,80,$83K,100,0,-,100%,"-2,615",83.85,-0.3269,-0.0253,0.0112,0.1384,-0.1641,10.40,Technology,Computer Hardware,48,,45 put 2026-08-21
IONQ_01.07_70call2026-03-20.txt,2026-01-03,04:25:13,IONQ,ASK,48,call,2026-01-23,15d,$46.87,$2.91 - $3.05,$3.00,300,$90K,342,122,2.80,95%,"14,600",77.99,0.4867,-0.0833,0.0455,0.0448,0.0114,3.00,Technology,Computer Hardware,48,,48 call 2026-01-23
IONQ_01.07_70call2026-03-20.txt,2026-01-03,01:20:12,IONQ,BID,45,put,2026-02-06,29d,$45.51,$4.00 - $4.65,$4.32,76,$33K,89,20,4.45,97%,"-3,282",82.02,-0.4318,-0.0648,0.034,0.0554,-0.023,4.32,Technology,Computer Hardware,48,,45 put 2026-02-06
IONQ_01.07_70call2026-03-20.txt,2026-01-03,01:20:12,IONQ,BID,55,put,2026-02-06,29d,$45.51,$10.60 - $11.65,$11.12,76,$85K,76,7,10.86,100%,"-5,583",81.23,-0.7346,-0.0534,0.0286,0.0462,-0.0427,11.12,Technology,Computer Hardware,48,,55 put 2026-02-06
IONQ_01.07_70call2026-03-20.txt,2026-01-02,22:57:30,IONQ,ASK,45,put,2026-02-20,43d,$45.17,$4.80 - $5.15,$5.00,"12,150",$6.08M,"13,508","1,541",8.77,100%,"-532,081",77.51,-0.4379,-0.0515,0.0307,0.0652,-0.0333,5.00,Technology,Computer Hardware,48,Floor Trade Large Cap,45 put 2026-02-20
IONQ_01.07_70call2026-03-20.txt,2026-01-01,00:29:33,IONQ,BID,65,call,2026-09-18,253d,$46.04,$8.25 - $8.70,$8.40,400,$336K,400,274,1.46,100%,"18,723",88.91,0.4681,-0.0265,0.0115,0.1548,0.094,8.40,Technology,Computer Hardware,48,,65 call 2026-09-18
