source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
RBLX_01.08_80call2026-07-17.txt,2026-01-08,01:03:45,RBLX,ASK,78,call,2026-02-06,29d,$76.90,$5.70 - $6.45,$6.10,90,$55K,100,0,-,90%,"4,651",75.02,0.5167,-0.11,0.0241,0.0879,0.0276,6.10,Communication Services,Electronic Gaming & Multimedia,28,,78 call 2026-02-06
RBLX_01.08_80call2026-07-17.txt,2026-01-08,00:17:28,RBLX,ASK,67.5,put,2027-01-15,372d,$77.13,$10.30 - $12.70,$11.85,249,$295K,250,60,4.17,100%,"-7,471",56.80,-0.30,-0.0204,0.0079,0.2711,-0.3576,11.85,Communication Services,Electronic Gaming & Multimedia,28,,67.5 put 2027-01-15
RBLX_01.08_80call2026-07-17.txt,2026-01-08,00:07:28,RBLX,BID,75,call,2026-07-17,190d,$77.01,$14.95 - $15.25,$14.95,30,$45K,35,21,1.67,100%,"1,844",63.84,0.6145,-0.0358,0.0108,0.213,0.1694,14.95,Communication Services,Electronic Gaming & Multimedia,28,,75 call 2026-07-17
RBLX_01.08_80call2026-07-17.txt,2026-01-08,00:02:34,RBLX,ASK,80,call,2026-07-17,190d,$76.96,$11.45 - $12.45,$12.45,109,$136K,112,33,3.39,97%,"6,057",61.77,0.5557,-0.0358,0.0115,0.2199,0.1586,12.45,Communication Services,Electronic Gaming & Multimedia,28,Repeated Hits,80 call 2026-07-17
RBLX_01.08_80call2026-07-17.txt,2026-01-07,23:59:22,RBLX,ASK,80,call,2026-03-20,71d,$76.63,$7.35 - $7.55,$7.46,"2,000",$1.49M,"2,014",627,3.21,100%,"99,851",65.33,0.4993,-0.0618,0.0179,0.1358,0.0608,7.46,Communication Services,Electronic Gaming & Multimedia,28,,80 call 2026-03-20
RBLX_01.08_80call2026-07-17.txt,2026-01-07,23:24:27,RBLX,ASK,78,put,2026-01-23,15d,$75.57,$4.00 - $4.40,$4.40,89,$39K,89,30,2.97,100%,"-5,395",47.33,-0.6062,-0.0899,0.0514,0.0609,-0.022,4.40,Communication Services,Electronic Gaming & Multimedia,28,,78 put 2026-01-23
RBLX_01.08_80call2026-07-17.txt,2026-01-07,22:50:24,RBLX,ASK,76,call,2026-01-09,1d,$76.28,$1.50 - $1.58,$1.55,250,$39K,270,212,1.27,99%,"13,523",62.51,0.5409,-0.3503,0.1124,0.0224,0.0022,1.55,Communication Services,Electronic Gaming & Multimedia,28,,76 call 2026-01-09
RBLX_01.08_80call2026-07-17.txt,2026-01-07,04:50:49,RBLX,BID,93,put,2026-02-06,29d,$75.89,$16.10 - $19.45,$17.65,30,$53K,37,0,-,81%,"-2,682",52.63,-0.8939,-0.0339,0.0157,0.0405,-0.0726,17.65,Communication Services,Electronic Gaming & Multimedia,28,,93 put 2026-02-06
RBLX_01.08_80call2026-07-17.txt,2026-01-07,04:44:08,RBLX,ASK,100,call,2028-01-21,743d,$76.37,$18.15 - $19.25,$18.95,"1,626",$3.08M,"2,286",338,6.76,81%,"89,182",60.09,0.5485,-0.0176,0.006,0.432,0.4681,18.95,Communication Services,Electronic Gaming & Multimedia,28,,100 call 2028-01-21
RBLX_01.08_80call2026-07-17.txt,2026-01-07,03:39:11,RBLX,BID,60,put,2026-04-17,99d,$76.56,$2.65 - $2.70,$2.66,187,$50K,248,63,3.94,100%,"-3,280",59.90,-0.1754,-0.0307,0.0107,0.104,-0.0445,2.66,Communication Services,Electronic Gaming & Multimedia,28,,60 put 2026-04-17
