source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
TLN_01.08_390call2026-11-20.txt,2026-01-08,04:44:14,TLN,ASK,360,put,2027-01-15,372d,$366.68,$63.00 - $64.00,$63.99,5,$32K,9,0,-,100%,-195,46.75,-0.3893,-0.0875,0.0022,1.4214,-2.1125,63.99,Utilities,Utilities - Independent Power Producers,49,,360 put 2027-01-15
TLN_01.08_390call2026-11-20.txt,2026-01-08,04:07:51,TLN,ASK,410,call,2026-02-20,43d,$368.60,$10.00 - $10.60,$10.55,260,$274K,262,70,3.74,99%,"7,622",48.66,0.2932,-0.244,0.0055,0.4403,0.1175,10.55,Utilities,Utilities - Independent Power Producers,49,,410 call 2026-02-20
TLN_01.08_390call2026-11-20.txt,2026-01-08,03:55:46,TLN,ASK,390,call,2026-11-20,316d,$368.74,$62.50 - $67.00,$67.00,200,$1.34M,200,4,50.00,100%,"11,210",55.08,0.5605,-0.1188,0.0021,1.3551,1.213,67.00,Utilities,Utilities - Independent Power Producers,49,Floor Trade Large Cap,390 call 2026-11-20
TLN_01.08_390call2026-11-20.txt,2026-01-08,03:55:36,TLN,BID,405,call,2026-01-16,8d,$368.74,$2.00 - $3.00,$2.00,217,$43K,225,9,25.00,100%,"2,938",52.28,0.1354,-0.366,0.0072,0.126,0.0118,2.00,Utilities,Utilities - Independent Power Producers,49,,405 call 2026-01-16
TLN_01.08_390call2026-11-20.txt,2026-01-08,03:49:37,TLN,ASK,350,put,2026-11-20,316d,$372.85,$49.50 - $53.40,$51.50,25,$129K,25,10,2.50,100%,-890,47.06,-0.3561,-0.0947,0.0023,1.295,-1.6002,51.50,Utilities,Utilities - Independent Power Producers,49,,350 put 2026-11-20
TLN_01.08_390call2026-11-20.txt,2026-01-08,01:53:25,TLN,ASK,370,put,2027-01-15,372d,$378.95,$62.50 - $66.20,$64.50,10,$65K,10,0,-,100%,-385,46.44,-0.3852,-0.0896,0.0021,1.4646,-2.151,64.50,Utilities,Utilities - Independent Power Producers,49,,370 put 2027-01-15
TLN_01.08_390call2026-11-20.txt,2026-01-08,01:15:21,TLN,BID,380,put,2026-03-20,71d,$380.45,$32.40 - $34.40,$33.30,25,$83K,25,19,1.32,100%,"-1,132",49.98,-0.453,-0.2312,0.0047,0.6694,-0.4056,33.30,Utilities,Utilities - Independent Power Producers,49,,380 put 2026-03-20
TLN_01.08_390call2026-11-20.txt,2026-01-08,00:19:21,TLN,BID,400,call,2026-06-18,161d,$379.60,$45.60 - $47.50,$45.60,17,$78K,22,10,2.20,91%,873,53.44,0.5134,-0.1672,0.003,1.0083,0.6626,45.60,Utilities,Utilities - Independent Power Producers,49,,400 call 2026-06-18
TLN_01.08_390call2026-11-20.txt,2026-01-06,00:13:45,TLN,ASK,405,put,2026-01-30,22d,$384.88,$29.00 - $32.70,$30.92,10,$31K,10,0,-,100%,-639,46.67,-0.6389,-0.3512,0.008,0.3772,-0.1896,30.92,Utilities,Utilities - Independent Power Producers,49,,405 put 2026-01-30
TLN_01.08_390call2026-11-20.txt,2026-01-05,22:47:08,TLN,ASK,425,put,2026-01-09,1d,$394.94,$29.20 - $32.55,$32.00,50,$160K,50,0,-,100%,"-4,269",64.45,-0.8539,-0.7619,0.0086,0.0947,-0.0405,32.00,Utilities,Utilities - Independent Power Producers,49,,425 put 2026-01-09
TLN_01.08_390call2026-11-20.txt,2026-01-02,23:51:00,TLN,ASK,390,call,2026-02-20,43d,$388.44,$26.00 - $28.00,$27.55,120,$331K,120,72,1.67,100%,"6,338",49.77,0.5282,-0.2886,0.0056,0.5664,0.2384,27.55,Utilities,Utilities - Independent Power Producers,49,,390 call 2026-02-20
