原始文件: 7872764a06704a42a8a9c809ce43f253~tplv-dy-aweme-images-v2_3000_3000_q75.jpeg
处理时间: 2025-12-25 19:29:06
文件类型: image_description
============================================================

这张图片是一张名为“12月24日 游资龙虎榜”的数据图表，主要展示了当日不同游资机构在股市中的买卖情况。整体风格为信息可视化设计，采用绿色和橙色的线条来表示资金流动方向，背景为浅灰色，边框为淡绿色。

### 图片内容详细描述：

#### 1. **标题与说明**
- **主标题**：位于图片顶部，用大号黑色字体写着“12月24日 游资龙虎榜”。
- **副标题**：在主标题下方，用较小字体标注：“本图内容不构成任何投资建议，不具备任何指导作用。投资有风险，交易需谨慎！”，提醒读者注意投资风险。

#### 2. **主体结构**
图片以“游资机构”为横轴，分为多个类别，每个类别下列出其买入（净买）或卖出（净卖）的股票及其金额和涨跌幅。使用了类似桑基图（Sankey Diagram）的形式，通过粗细不同的彩色条带连接各个节点，直观展示资金流向。

##### **颜色含义**
- **橙色条带**：代表“净买”（即资金流入）。
- **绿色条带**：代表“净卖”（即资金流出）。
- 条带宽度与资金数额成正比，越宽表示金额越大。

---

#### 3. **具体游资机构及操作明细**

##### **N周二**
- **净买**：
  - 德力股份：2336.6万元，股价下跌6.08%。
- **净卖**：
  - 厦门国贸：-3887.37万元，股价上涨10.08%。
  - 西部材料：3817.4万元，股价上涨8.47%。
  - 中百集团：2117.4万元，股价下跌1.35%。
  - 中光防雷：1066.2万元，股价上涨3.73%。
  - 天工股份：3474.2万元，股价上涨16.15%。
  - 庄园牧场：161.0万元，股价下跌9.96%。
  - 方盛股份：98.7万元，股价上涨5.11%。
  - 大鹏工业：80.1万元，股价上涨1.42%。
  - 退市苏吴：47.9万元，股价上涨6.45%。
- **净卖**：
  - 广道退：-35.8万元，股价上涨29.41%。

##### **T王**
- **净买**：
  - 田野股份：-265.8万元，股价下跌3.07%。
  - 浙江世宝：-799.2万元，股价上涨10.02%。
  - 鲁信创投：-973.5万元，股价上涨10.03%。
  - 华菱线缆：-1315.3万元，股价上涨6.10%。
  - 钧达股份：-1330.6万元，股价上涨10.01%。
  - 凯撒旅业：-1520.3万元，股价上涨9.96%。
  - 章源钨业：2930.0万元，股价下跌7.75%。
  - 德力股份：-1154.6万元，股价下跌6.08%。
- **净卖**：
  - 英唐智控：8027.3万元，股价上涨20.00%。
  - 海南发展：7339.7万元，股价上涨10.01%。
  - 天际股份：-10476.6万元，股价上涨10.00%。
  - 永悦科技：523.7万元，股价上涨10.09%。
  - 广道退：58.0万元，股价上涨29.41%。

##### **北京帮**
- **净买**：
  - 田野股份：-265.8万元，股价下跌3.07%。
  - 浙江世宝：-799.2万元，股价上涨10.02%。
  - 鲁信创投：-973.5万元，股价上涨10.03%。
  - 华菱线缆：-1315.3万元，股价上涨6.10%。
  - 钧达股份：-1330.6万元，股价上涨10.01%。
  - 凯撒旅业：-1520.3万元，股价上涨9.96%。
  - 章源钨业：2930.0万元，股价下跌7.75%。
  - 德力股份：-1154.6万元，股价下跌6.08%。

##### **炒股养家**
- **净买**：
  - 田野股份：-265.8万元，股价下跌3.07%。
  - 浙江世宝：-799.2万元，股价上涨10.02%。
  - 鲁信创投：-973.5万元，股价上涨10.03%。
  - 华菱线缆：-1315.3万元，股价上涨6.10%。
  - 钧达股份：-1330.6万元，股价上涨10.01%。
  - 凯撒旅业：-1520.3万元，股价上涨9.96%。
  - 章源钨业：2930.0万元，股价下跌7.75%。
  - 德力股份：-1154.6万元，股价下跌6.08%。

##### **成都系**
- **净买**：
  - 田野股份：-265.8万元，股价下跌3.07%。
  - 浙江世宝：-799.2万元，股价上涨10.02%。
  - 鲁信创投：-973.5万元，股价上涨10.03%。
  - 华菱线缆：-1315.3万元，股价上涨6.10%。
  - 钧达股份：-1330.6万元，股价上涨10.01%。
  - 凯撒旅业：-1520.3万元，股价上涨9.96%。
  - 章源钨业：2930.0万元，股价下跌7.75%。
  - 德力股份：-1154.6万元，股价下跌6.08%。

##### **低位挖掘**
- **净买**：
  - 英唐智控：8027.3万元，股价上涨20.00%。
  - 海南发展：7339.7万元，股价上涨10.01%。
  - 天际股份：-10476.6万元，股价上涨10.00%。
  - 永悦科技：523.7万元，股价上涨10.09%。
  - 广道退：58.0万元，股价上涨29.41%。

##### **欢乐海岸**
- **净买**：
  - 英唐智控：8027.3万元，股价上涨20.00%。
  - 海南发展：7339.7万元，股价上涨10.01%。
  - 天际股份：-10476.6万元，股价上涨10.00%。
  - 永悦科技：523.7万元，股价上涨10.09%。
  - 广道退：58.0万元，股价上涨29.41%。

##### **量化抢筹**
- **净买**：
  - 广道退：58.0万元，股价上涨29.41%。

---

#### 4. **其他元素**
- 所有文字均为中文，清晰可读。
- 图表中部分股票名称后附有涨跌幅数据，百分比以红色（上涨）或绿色（下跌）显示。
- 每个游资机构左侧有一个竖直的标签条，标明其名称。
- 整体布局紧凑，信息密度高，适合快速浏览和分析。

---

### 总结
这是一张用于展示特定日期（12月24日）各游资机构在股市中资金动向的图表，通过颜色、线条宽度和数据标注，直观呈现了资金的流入与流出情况。该图表主要用于市场观察和分析，但明确声明不构成投资建议。
