ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,limit,name,industry
001330.SZ,20251209,10.3,10.65,10.01,10.65,9.68,0.97,10.0207,2238176.0,2322981.836,2,博纳影业,影视音像
002235.SZ,20251209,11.24,11.24,11.24,11.24,10.22,1.02,9.9804,32428.43,36449.555,2,安妮股份,造纸
002512.SZ,20251209,7.84,7.84,7.49,7.84,7.13,0.71,9.9579,1929803.76,1502554.641,2,达华智能,IT设备
003031.SZ,20251209,65.31,65.31,65.31,65.31,59.37,5.94,10.0051,28988.53,189324.089,2,中瓷电子,元器件
600250.SH,20251209,12.15,12.36,11.42,12.36,11.24,1.12,9.9644,681525.07,824531.768,2,南京商旅,商贸代理
600897.SH,20251209,19.6,20.81,19.31,20.81,18.92,1.89,9.9894,517916.15,1054190.693,2,厦门空港,机场
601933.SH,20251209,4.38,4.75,4.17,4.75,4.32,0.43,9.9537,9170301.39,4156059.286,2,永辉超市,超市连锁
603023.SH,20251209,5.26,5.45,5.03,5.45,4.95,0.5,10.101,1015961.27,539691.352,2,威帝股份,汽车配件
603278.SH,20251209,11.76,11.76,11.57,11.76,10.69,1.07,10.0094,403490.49,473779.162,2,大业股份,钢加工
603601.SH,20251209,6.33,6.33,6.11,6.33,5.75,0.58,10.087,1120995.58,708440.898,2,再升科技,玻璃
